9952160869001401,.b10019455,The Rivers Amazon / by Alex Shoumatoff.,"San Francisco : Sierra Club Books, [c1978]"
9952162060301401,.b10117337,"No pickle, no performance : an irreverent theatrical excursion from Tallulah to Travolta / Harold J. Kennedy.","Garden City, N.Y. : Doubleday, 1978."
9952162122601401,.b10094945,Comic relief : humor in contemporary American literature / edited by Sarah Blacher Cohen.,"Urbana : University of Illinois Press, c1978."
9952162194901401,.b10123891,The trouble begins at eight : Mark Twain's lecture tours.,"Ames : Iowa State University Press, 1968, 1969 printing."
9952162293201401,.b10124524,"Glimpses of real life as seen in the theatrical world and in Bohemia : being the confessions of Peter Paterson, a strolling comedian.","Hamden, Conn. : Archon Books, 1979."
9952162544901401,.b10139229,Literature and negation / Maire Jaanus Kurrik.,"New York : Columbia University Press, 1979."
9952163379301401,.b10275289,Roman des origines et origines du roman / Marthe Robert.,Paris : B. Grasset c1972.
9952163592301401,.b10295951,"Psychocritique du genre comique : Aristophane, Plaute, Terence, Moliere / Charles Mauron.","Paris : J. Corti, [1970]"
9952163703101401,.b10293474,The gorgon's head : a study in tragedy and despair / William R. Brashear.,"Athens : University of Georgia Press, c1977."
9952163747501401,.b10281058,"The off, off Broadway book; the plays, people, theatre. Edited by Albert Poland and Bruce Mailman.","[Indianapolis, Bobbs-Merrill, c1972]"
9952163756801401,.b10332777,"Tragedy, myth, and mystery / Richmond Y. Hathorn.","Bloomington, Ind. : Indiana University Press, 1966, c1962."
9952163807801401,.b10310393,Le genre poetique; essai.,"Monte-Carlo, Editions Regain, [c1963]"
9952164906401401,.b10426735,Once around the sun.,"New York, Harcourt, Brace [1951]"
9952164944601401,.b10424180,"The professional actor, from audition to performance / Tom Markus.","New York : Drama Book Specialists, c1979."
9952165033101401,.b10441451,The Manchurian frontier in Ch'ing history [by] Robert H. G. Lee.,"Cambridge, Harvard University Press, 1970."
9952166066901401,.b10581376,Directing for the theatre.,"Dubuque, Iowa, W. C. Brown Co. [1961]"
