Type / Creator / Imprint,,Subject,Series,Title,Relation,Creation Date,Modification Date,Edition,Uniform Title,Medium Type,Language,Open Access,Language Of Cataloging,ISBN,Record number,ISBN (13),ISSN,Collections,Availability,Availability (Network),,Orders,Peer Reviewed,Managed by,Requests,MMS ID,underReview,resultFromNetwork,Local Call Number,Other Classification Number,Handle Identifier
"Book {Book - Physical} By Neville, Amelia Ransome, (Boston : Houghton Mifflin company, 1932.)",,San Francisco (Calif.)--Social life and customs. ,,The fantastic city : memoirs of the social and romantic life of old San Francisco / by Amelia Ransome Neville ; edited and revised by Virginia Brastow.,,08/08/2022 20:08:02 ,01/20/2023 17:16:55 ,,,,English,,,,110172;(Mills)RLINCMCGR783230-B;(MillsTIND)132500,,,,"Availability:Physical version at OLIN: olsc; 917.946 N523f  (1 copy, 1 available)
",,,0,,,0,9952173662801401,,,917.946 N523f ,,
"Book {Book - Physical} By Stone, Jennifer, (Berkeley, Calif. : North Atlantic Books, c1988.)",,,,Stone's throw : selected essays / by Jennifer Stone.,,08/08/2022 16:38:32 ,01/20/2023 16:29:10 ,,,,English,,,1556430310 (pbk.) :  and others,152689;(Mills)RLINCMCG91-B3609;(MillsTIND)85945,9781556430312 (pbk.) :  and others,,,"Availability:Physical version at OLIN: olsc; 814 S878s 1988  (1 copy, 1 available)
Availability:Physical version at OLIN: olnf1; 814 S878s 1988  (1 copy, 1 available)
",,,0,,,0,9952171648501401,,,814 S878s 1988 ,,
"Book {Book - Physical} By Leisy, Ernest Erwin, (Norman, University of Oklahoma Press [c1950])",,American fiction--History and criticism.   Historical fiction.   United States--History--Fiction.  and others,,"The American historical novel, by Ernest E. Leisy.",,08/08/2022 14:46:37 ,01/20/2023 17:39:38 ,[1st ed.],,,English,,,,82300;(Mills)ocm01045690;(MillsTIND)61154,,,,"Availability:Physical version at OLIN: olsc; 813.09 L532a  (1 copy, 1 available)
",,,0,,,0,9952166858801401,,,813.09 L532a ,,
"Book {Book - Physical} By Walker, Franklin Dickerson, (San Marino, Calif., Huntington Library, 1966.)",,"London, Jack,--1876-1916. ",,Jack London and the Klondike; the genesis of an American writer [by] Franklin Walker.,,08/08/2022 14:46:02 ,01/20/2023 17:39:43 ,,,,English,,,,82219;(Mills)ocm00288500;(MillsTIND)60916,,,,"Availability:Physical version at OLIN: olsc; 813 L847Xw  (1 copy, 1 available)
",,,0,,,0,9952166788201401,,,813 L847Xw ,,
"Book {Book - Physical} By McClure, Charlotte S. (Boston : Twayne Publishers, 1979.)",,"Atherton, Gertrude Franklin Horn,--1857-1948--Criticism and interpretation. ",Twayne's United States authors series ; TUSAS 324.,Gertrude Atherton / by Charlotte S. McClure.,,08/08/2022 13:32:04 ,01/20/2023 17:59:53 ,,,,English,,,0805772162 ,1298;(Mills)RLINCMCG11679484-B;(MillsTIND)3128,9780805772166 ,,,"Availability:Physical version at OLIN: olsc; 813 A868Xm  (1 copy, 1 available)
",,,0,,,0,9952161400401401,,,813 A868Xm ,,
"Book {Book - Physical} By Caldwell, Erskine, (New York, The Viking press, 1937.)",,Farm tenancy--Economic aspects--Southern States.   Sharecropping.   Cotton growing--Southern States.  and others,,"You have seen their faces, by Erskine Caldwell and Margaret Bourke-White.",,08/08/2022 20:08:03 ,01/20/2023 17:16:50 ,,,,English,,,,110159;(Mills)ocm01548861;(MillsTIND)132464,,,,"Availability:Physical version at OLIN: olnfov; 917.5 C147y  (1 copy, 1 available)
",,,0,,,0,9952173666201401,,,917.5 C147y ,,
"Book {Book - Physical} By Nixon, Nicholas, (New York : Museum of Modern Art, c1988.)",,"Nixon, Nicholas,--1947---Exhibitions.   Portrait photography--Exhibitions. ",,Nicholas Nixon : pictures of people / introduction by Peter Galassi.,,08/08/2022 20:12:12 ,01/20/2023 17:26:12 ,,,,English,,,0870704389 (paperbound)  and others,173407;(Mills)RLINCMCG93-B1866;(MillsTIND)135723,9780870704383 (paperbound)  and others,,,"Availability:Physical version at OLIN: olnfov; 779.2 N736p 1988  (1 copy, 1 available)
",,,0,,,0,9952174126201401,,,779.2 N736p 1988 ,,
"Book {Book - Physical} By Struth, Thomas, ([Dallas, Tex.] : New Haven : Dallas Museum of Art c2002.)",,"Struth, Thomas,--1954---Exhibitions.   Photography, Artistic--Exhibitions. ",,Thomas Struth 1977-2002 / essays by Douglas Ecklund ... [et al.].,,08/08/2022 21:05:46 ,01/20/2023 18:06:36 ,,,,English,,,0300093608 ,(Mills)ocm50127257;(MillsTIND)163433,9780300093605 ,,,"Availability:Physical version at OLIN: olnfov; 779.092 S9278t 2002  (1 copy, 1 available)
",,,0,,,0,9952176906601401,,,779.092 S9278t 2002 ,,
"Book {Book - Physical} By Michener, James A. (Tokyo, Rutland, Vt., C E Tuttle Co [1959])",,"Color prints, Japanese. ",,"Japanese prints; from the early masters to the modern, by James A. Michener, with notes on the prints by Richard Lane. With the cooperation of the Honolulu Academy of Arts.",,08/08/2022 14:36:13 ,01/20/2023 17:22:55 ,,,,English,,,,76820;(Mills)ocm00519182;(MillsTIND)44668,,,,"Availability:Physical version at OLIN: olnfov; 760 M623j  (1 copy, 1 available)
",,,0,,,0,9952165535901401,,,760 M623j ,,
"Book {Book - Physical} By Rosskam, Edwin, (New York, Toronto, Alliance book corporation, Longmans, Green and company [c1939])",,San Francisco (Calif.)--Description and travel. ,Face of America. His The face of America,"San Francisco, west coast metropolis, by Edwin Rosskam; with an introduction by William Saroyan.",,08/08/2022 20:09:36 ,01/20/2023 17:18:28 ,,,,English,,,,110197;(Mills)ocm01499501;(MillsTIND)132567,,,,"Availability:Physical version at OLIN: olnf1; 917.946 R835s  (1 copy, 1 available)
",,,0,,,0,9952173936601401,,,917.946 R835s ,,
"Book {Book - Physical} By Busse, Fritz. (New York, Arts, inc [1960, c1959])",,San Francisco (Calif.)--Pictorial works. ,,"San Francisco, city at the Golden Gate. Sketches by Fritz Busse; text by Harold and Ann Gilliam.",,08/08/2022 20:07:01 ,01/20/2023 17:16:50 ,,,,English,,,,110106;(Mills)ocm02489342;(MillsTIND)132335,,,,"Availability:Physical version at OLIN: olnf1; 917.946 B981s  (1 copy, 1 available)
",,,0,,,0,9952173683501401,,,917.946 B981s ,,
"Book {Book - Physical} By Beebe, Lucius Morris, (Oakland, Calif., G Hardy 1951.)",,"Railroads, Cable.   Street-railroads--California--San Francisco.   San Francisco (Calif.)--Social life and customs. ",,Cable car carnival [by] Lucius Beebe and Charles Clegg. Decorations by E. S. Hammack.,,08/08/2022 20:07:01 ,01/20/2023 17:16:51 ,[1st ed.],,,English,,,,110104;(Mills)ocm05949119;(MillsTIND)132330,,,,"Availability:Physical version at OLIN: olnf1; 917.946 B414c  (1 copy, 1 available)
",,,0,,,0,9952173683901401,,,917.946 B414c ,,
"Book {Book - Physical} By Weston, Otheto, ([Stanford, Calif.] Stanford University Press [1948])",,California--Gold discoveries.   California--Pictorial works. ,,Mother Lode album.,,08/08/2022 20:06:43 ,01/20/2023 17:16:47 ,,,,English,,,,110078;(Mills)ocm03395393;(MillsTIND)132268,,,,"Availability:Physical version at OLIN: olnf1; 917.94 W535m  (1 copy, 1 available)
",,,0,,,0,9952173689601401,,,917.94 W535m ,,
