Title,Type / Creator / Imprint,Barcode,Inventory Number,Receiving Number,Library,Library Unit,Temporary Library,Creation Date,Modification Date,Process type,To Library,Expected Arrival Time,At Library,At,On Hold Expiration Date,Due Date,Needed By,Until,Permanent Location,Temporary Location,Call Number,Call Number Type,Accession Number,Temporary Call Number,Temporary Call Number Type,Item call number,Item call number type,Status,RFID Security Status,Due back,Item Policy,Temporary Item Policy,Material Type,Copy ID,Description,Orders,Requests,Peer Reviewed,Item ID,Holdings ID,MMS ID
"The Kingdom of the Scots: government, church, and society from the eleventh to the fourteenth century [by] G. W. S. Barrow.","Book By Barrow, G. W. S. (New York, St. Martin's Press [1973])",33086000107128,,,F.W. Olin Library,,,08/08/2022 13:31:59 ,08/08/2022 13:31:59 ,,,,,,,,,,Non-Fiction,,309.141 B278k,Dewey Decimal classification,,,,309.141 B278k,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400163270001401,22400163280001401,9952160866601401
Social control in nineteenth century Britain / edited by A. P. Donajgrodzki.,"Book By Donajgrodzki, A. P. (London : Totowa, N.J. : Croom Helm 1977.)",33086000106898,,,F.W. Olin Library,,,08/08/2022 13:31:05 ,08/08/2022 13:31:05 ,,,,,,,,,,Non-Fiction,,309.142 D674s,Dewey Decimal classification,,,,309.142 D674s,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400098080001401,22400098150001401,9952160877301401
"Wealth and power in Tudor England : essays presented to S. T. Bindoff / edited by E. W. Ives, R. J. Knecht, J. J. Scarisbrick.","Book By Bindoff, S. T. (London : [Atlantic Highlands, N.J.] : Athlone Press 1978.)",33086000108654,,,F.W. Olin Library,,,08/08/2022 13:32:17 ,08/08/2022 13:32:17 ,,,,,,,,,,Non-Fiction,,309.142 W362,Dewey Decimal classification,,,,309.142 W362,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400159000001401,22400159120001401,9952161525601401
Resources and population : a study of the Gurungs of Nepal / Alan Macfarlane.,"Book By Macfarlane, Alan. (Cambridge ; New York : Cambridge University Press, c1976.)",33086000182337,,,F.W. Olin Library,,,08/08/2022 14:15:00 ,08/08/2022 14:15:00 ,,,,,,,,,,Non-Fiction,,309.15426 M143r,Dewey Decimal classification,,,,309.15426 M143r,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400985500001401,22400985570001401,9952163068001401
Society and bureaucracy in contemporary Ghana / Robert M. Price.,"Book By Price, Robert M. (Berkeley : University of California Press, c1975.)",33086000180703,,,F.W. Olin Library,,,08/08/2022 14:15:32 ,08/08/2022 14:15:32 ,,,,,,,,,,Non-Fiction,,309.1667 P946s,Dewey Decimal classification,,,,309.1667 P946s,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23401011490001401,22401011540001401,9952163061401401
"The quality of American life : perceptions, evaluations, and satisfactions / Angus Campbell, Philip E. Converse, Willard L. Rodgers.","Book By Campbell, Angus, (New York : Russell Sage Foundation, c1976.)",33086000177048,,,F.W. Olin Library,,,08/08/2022 13:45:51 ,08/08/2022 13:45:51 ,,,,,,,,,,Non-Fiction,,309.173 C174q,Dewey Decimal classification,,,,309.173 C174q,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400887790001401,22400887840001401,9952163213001401
A government as good as its people / by Jimmy Carter.,"Book By Carter, Jimmy, (New York : Simon and Schuster, c1977.)",33086000182915,,,F.W. Olin Library,,,08/08/2022 14:15:13 ,08/08/2022 14:15:13 ,,,,,,,,,,Non-Fiction,,309.173 C323g,Dewey Decimal classification,,,,309.173 C323g,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400990430001401,22400990610001401,9952163445001401
A time for truth / William E. Simon.,"Book By Simon, William E., (New York : Reader's Digest Press, c1978.)",33086000128447,,,F.W. Olin Library,,,08/08/2022 13:36:48 ,08/08/2022 13:36:48 ,,,,,,,,,,Non-Fiction,,309.173 S596t,Dewey Decimal classification,,,,309.173 S596t,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400391610001401,22400391920001401,9952161780101401
Tomorrow's American / edited by Samuel Sandmel.,"Book By Sandmel, Samuel. (New York : Oxford University Press, 1977.)",33086000200592,,,F.W. Olin Library,,,08/08/2022 14:18:59 ,08/08/2022 14:18:59 ,,,,,,,,,,Non-Fiction,,309.173 T661,Dewey Decimal classification,,,,309.173 T661,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23401249470001401,22401249670001401,9952164150501401
The world of John Cleaveland : family and community in eighteenth-century New England / Christopher M. Jedrey.,"Book By Jedrey, Christopher M. (New York : Norton, c1979.)",33086000128231,,,F.W. Olin Library,,,08/08/2022 13:35:21 ,08/08/2022 13:35:21 ,,,,,,,,,,Non-Fiction,,309.1744 J44w,Dewey Decimal classification,,,,309.1744 J44w,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400320680001401,22400320780001401,9952161834901401
The urban threshold : growth and change in a nineteenth-century American community / Stuart M. Blumin.,"Book By Blumin, Stuart M. (Chicago : University of Chicago Press, c1976.)",33086000128223,,,F.W. Olin Library,,,08/08/2022 13:35:19 ,08/08/2022 13:35:19 ,,,,,,,,,,Non-Fiction,,309.1747 B658u,Dewey Decimal classification,,,,309.1747 B658u,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400321830001401,22400321860001401,9952161835501401
"Social area analysis: theory, illustrative application, and computational procedures, by Eshref Shevky and Wendell Bell.","Book By Shevky, Eshref. (Westport, Conn., Greenwood Press [1972, c1955])",33086000183541,,,F.W. Olin Library,,,08/08/2022 14:15:04 ,08/08/2022 14:15:04 ,,,,,,,,,,Non-Fiction,,309.1794 S554so,Dewey Decimal classification,,,,309.1794 S554so,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400982350001401,22400982490001401,9952163525901401
Nuclear power and social planning : the city of the second sun / Gerald Garvey.,"Book By Garvey, Gerald, (Lexington, Mass. : Lexington Books, c1977.)",33086000199059,,,F.W. Olin Library,,,08/08/2022 14:17:41 ,08/08/2022 14:17:41 ,,,,,,,,,,Non-Fiction,,309.212 G244n,Dewey Decimal classification,,,,309.212 G244n,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23401163850001401,22401163910001401,9952163790401401
From option to opening / Donald C. Farber.,"Book By Farber, Donald C. (New York : Drama Book Specialists, c1977.)",33086000195800,,,F.W. Olin Library,,,08/08/2022 14:17:02 ,08/08/2022 14:17:02 ,,,,,,,,,,Non-Fiction,,792.02 F219f 1977,Dewey Decimal classification,,,,792.02 F219f 1977,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23401113370001401,22401113440001401,9952163851201401
"Titans of the American stage : Edwin Forrest, the Booths, the O'Neills.","Book By Shaw, Dale, (Philadelphia : Westminster Press, c1971.)",33086000288142,,,F.W. Olin Library,,,08/08/2022 14:44:20 ,08/08/2022 14:44:20 ,,,,,,,,,,Non-Fiction,,792.028 S534t,Dewey Decimal classification,,,,792.028 S534t,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23402302260001401,22402302300001401,9952166361001401
Mid-century drama.,"Book By Kitchin, Laurence. (London : Faber and Faber, 1962.)",33086000192005,,,F.W. Olin Library,,,08/08/2022 14:16:20 ,08/08/2022 14:16:20 ,,,,,,,,,,Non-Fiction,,792.0941 K62m,Dewey Decimal classification,,,,792.0941 K62m,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23401046590001401,22401046670001401,9952163609301401
An introduction to the French theatre / Peter D. Arnott.,"Book By Arnott, Peter D. (Totowa, N.J. : Rowman and Littlefield, 1977.)",33086000197186,,,F.W. Olin Library,,,08/08/2022 14:18:14 ,08/08/2022 14:18:14 ,,,,,,,,,,Non-Fiction,,792.0944 A764i,Dewey Decimal classification,,,,792.0944 A764i,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23401176960001401,22401177040001401,9952163792701401
"Responses : prose pieces, 1953-1976 / Richard Wilbur.","Book By Wilbur, Richard, (New York : Harcourt Brace Jovanovich, c1976.)",33086000176834,,,F.W. Olin Library,,,08/08/2022 13:46:01 ,08/08/2022 13:46:01 ,,,,,,,,,,Non-Fiction,,809.1 W666r,Dewey Decimal classification,,,,809.1 W666r,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400914880001401,22400914950001401,9952163239301401
Comic drama : the European heritage / edited by W. D. Howarth.,"Book By Howarth, W. D. (New York : St Martin's Press, 1979, c1978.)",33086000124594,,,F.W. Olin Library,,,08/08/2022 13:36:16 ,08/08/2022 13:36:16 ,,,,,,,,,,Non-Fiction,,809.2 C733,Dewey Decimal classification,,,,809.2 C733,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400356780001401,22400356980001401,9952161802601401
Masters of the drama.,"Book By Gassner, John, (New York, Dover Publications, 1945 [c1940])",33086003183027,,,F.W. Olin Library,,,08/08/2022 14:45:52 ,08/08/2022 14:45:52 ,,,,,,,,,,Non-Fiction,,809.2 G253m1,Dewey Decimal classification,,,,809.2 G253m,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23402387980001401,22402388080001401,9952166555101401
The ways of the world : comedy and society / by Robert Bechtold Heilman.,"Book By Heilman, Robert Bechtold, (Seattle : University of Washington Press, c1978.)",33086000107383,,,F.W. Olin Library,,,08/08/2022 13:32:35 ,08/08/2022 13:32:35 ,,,,,,,,,,Non-Fiction,,809.2 H466w,Dewey Decimal classification,,,,809.2 H466w,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400190220001401,22400190330001401,9952161519401401
From Buchner to Beckett : dramatic theory and the modes of tragic drama / Alfred Schwarz.,"Book By Schwarz, Alfred. (Athens : Ohio University Press, c1978.)",33086000124586,,,F.W. Olin Library,,,08/08/2022 13:36:14 ,08/08/2022 13:36:14 ,,,,,,,,,,Non-Fiction,,809.2 S411f,Dewey Decimal classification,,,,809.2 S411f,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400357480001401,22400357550001401,9952161803001401
Literature and negation / Maire Jaanus Kurrik.,"Book By Jaanus, Maire. (New York : Columbia University Press, 1979.)",33086000145995,,,F.W. Olin Library,,,08/08/2022 13:40:09 ,08/08/2022 13:40:09 ,,,,,,,,,,Non-Fiction,,809.3 K96L,Dewey Decimal classification,,,,809.3 K96L,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400569630001401,22400569670001401,9952162544901401
The gorgon's head : a study in tragedy and despair / William R. Brashear.,"Book By Brashear, William R. (Athens : University of Georgia Press, c1977.)",33086000191536,,,F.W. Olin Library,,,08/08/2022 14:16:59 ,08/08/2022 14:16:59 ,,,,,,,,,,Non-Fiction,,809.9 B823g,Dewey Decimal classification,,,,809.9 B823g,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23401114590001401,22401114720001401,9952163703101401
"The left bank, a play in three acts, by Elmer Rice.","Book By Rice, Elmer, (New York, Los Angeles, London, S French 1931.)",33086000246678,,,F.W. Olin Library,,,08/08/2022 14:27:32 ,08/08/2022 14:27:32 ,,,,,,,,,,Non-Fiction,,812 R4954L,Dewey Decimal classification,,,,812 R4954L,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23401765480001401,22401765510001401,9952165314901401
"The off, off Broadway book; the plays, people, theatre. Edited by Albert Poland and Bruce Mailman.","Book By Poland, Albert. ([Indianapolis, Bobbs-Merrill, c1972])",33086000187864,,,F.W. Olin Library,,,08/08/2022 14:16:03 ,08/08/2022 14:16:03 ,,,,,,,,,,Non-Fiction,,812.08 P762of,Dewey Decimal classification,,,,812.08 P762of,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23401042800001401,22401042900001401,9952163747501401
Saul Bellow : the problem of affirmation / Chirantan Kulshrestha.,"Book By Kulshrestha, Chirantan, (New Delhi : Arnold-Heinemann, 1978.)",33086000144717,,,F.W. Olin Library,,,08/08/2022 13:38:41 ,08/08/2022 13:38:41 ,,,,,,,,,,Non-Fiction,,813 B448Xk,Dewey Decimal classification,,,,813 B448Xk,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400516090001401,22400486170001401,9952162324801401
James Gould Cozzens : new acquist of true experience / edited by Matthew J. Bruccoli.,"Book By Bruccoli, Matthew Joseph, (Carbondale : Southern Illionis University Press, c1979.)",33086000141580,,,F.W. Olin Library,,,08/08/2022 13:39:32 ,08/08/2022 13:39:32 ,,,,,,,,,,Non-Fiction,,813 C882Xa,Dewey Decimal classification,,,,813 C882Xa,Dewey Decimal classification,Item in place,,,Circulating,,Book,1,,0,0,,23400555110001401,22400555220001401,9952162277101401
