9952160796201401,.b1002301x,The theory and practice of socialism.,Random House,[c1936]
9952160818201401,.b1000371x,The housewares story; a history of the American housewares industry.,National Housewares Manufacturers Association,[1973]
9952160834501401,.b10002054,"Consumption and business fluctuations; a case study of the shoe, leather, hide sequence.","National Bureau of Economic Research,",1956.
9952160863601401,.b10019819,"The House Committee on Un-American Activities, 1945-1950.","Cornell University Press,",1952.
9952160869201401,.b10019443,The agrarian movement in North Dakota / by Paul R. Fossum.,"Johns Hopkins Press,",1925.
9952160872901401,.b10019212,"Industrial democracy; a plan for its achievement, by Glenn E. Plumb and William G. Roylance.","B. W. Huebsch, inc.,",1923.
9952161363201401,.b10034298,Postwar market for State and local government securities.,"Princeton University Press,",1960.
9952161433901401,.b10008913,"Fiscal zoning and land use controls : the economic issues / edited by Edwin S. Mills, Wallace E. Oates.",,[1975]
9952161470201401,.b1003268x,The income tax is obsolete [by] Joseph S. Duarte.,Arlington House,[1974]
9952161473201401,.b1003528x,Legislative texts and treaty provisions concerning the utilization of international rivers for other purposes than navigation. Textes legislatifs et dispositions de traites concernant l'utilisation des fleuves internationaux a des fins autres que la navigation.,,1963]
9952161516901401,.b10020469,"The Utopian vision of Charles Fourier; selected texts on work, love, and passionate attraction. Translated, edited and with an introd. by Jonathan Beecher and Richard Bienvenu.",Beacon Press,[1971]
9952161525901401,.b10023756,"Isms; a review of alien isms, revolutionary communism and their active sympathizers in the United States.",,1937.
9952161552401401,.b10024955,Stalin and German communism: a study in the origins of the state party/ with a pref. by Sidney B. Fay.,"Harvard Univ. Press,",1948.
9952161554101401,.b10060704,"The war period of American finance, 1908-1925, by Alexander D. Noyes. Being the continuation of ""Forty years of American finance.""","G.P. Putnam's Sons,",1926.
9952161554301401,.b10060674,"Forty years of American finance; a short financial history of the government and people of the United States since the Civil War, 1865-1907, by Alexander Dana Noyes.","G.P. Putnam's Sons,",1909.
9952161578001401,.b10062087,"Sugar in relation to the tariff, by Philip G. Wright, with the aid of the council and staff of the Institute of Economics.","McGraw-Hill,",1924.
9952161583201401,.b10060182,"Measuring benefits of government investments; papers presented at a conference of experts held November 7-9, 1963.",Brookings Institution,[1965]
9952161841801401,.b10063183,Techniques of treasury debt management.,"Graduate School of Business, Columbia University, and Free Press of Glencoe",[1962]
9952161850001401,.b10057602,India's rural development : an assessment of alternatives / Marcus Franda.,"Indiana University Press,",c1979.
9952161881101401,.b10083595,"American energy choices before the year 2000 : [proceedings] / edited by Elihu Bergman, Hans A. Bethe, Robert Marshak.","Lexington Books,",c1978.
9952161900901401,.b10072421,"Democracy and finance in China; a study in the development of fiscal systems and ideals, by Kinn Wei Shaw.","Columbia university press,",1926.
9952162759601401,.b1020281x,The Political economy of inflation / edited by Fred Hirsch and John H. Goldthorpe.,"Harvard University Press,",1978.
9952162823401401,.b10197667,Hinduism.,"Oxford University Press,","1966, 1977 printing."
9952163443701401,.b10265569,The Fabians / Norman and Jeanne MacKenzie.,"Simon and Schuster,",c1977.
9952164018901401,.b10342801,"Religion in American history : interpretive essays / John M. Mulder, John F. Wilson, editors.","Prentice-Hall,",c1978.
9952164685901401,.b1041308x,Networking CD-ROMs : the decision maker's guide to local area network solutions / Ahmed M. Elshami.,"American Library Association,",1996.
9952164719101401,.b10407844,Proust / by Samuel Beckett.,"Grove Press,",1970.
9952164754401401,.b10464463,"On Christian doctrine/ Saint Augustine; translated, with an introduction by D.W.Robertson.","Bobbs-Merrill,",c1958.
9952164936801401,.b10425962,The Energy controversy : soft path questions & answers / by Amory B. Lovins & his critics ; edited by Hugh Nash.,"Friends of the Earth,",c1979.
9952165030301401,.b1044693x,Clement Marot and the inflections of poetic voice / Robert Griffin.,"University of California Press,",1974.
9952166293801401,.b10608461,"A guide to the national parks; their landscape and geology [by] William H. Matthews, III.  Foreword by Paul M. Tilden.","Published for the American Museum of Natural History [by] the Natural History Press,",1968.
9952166348101401,.b10593342,La condition postmoderne : rapport sur le savoir / Jean-Francois Lyotard.,"Editions de Minuit,",c1979.
9952167113801401,.b10693828,"Comparing and assessing programming languages : Ada, C, and Pascal / Alan R. Feuer and Narain Gehani, editors.","Prentice-Hall,",c1984.
9952168382901401,.b10859615,"The States of 'theory' : history, art, and critical discourse / edited and with an introduction by David Carroll.","Columbia University Press,",1990.
9952168517501401,.b10842032,"The art of Lisp programming / Robin Jones, Clive Maynard, Ian Stewart.","Springer-Verlag,",c1990.
9952168736501401,.b10866681,"Shakspere; a critical study of his mind and art, by Edward Dowden ...",Harper & Brothers,[c1918]
9952169292801401,.b1093344x,"Symmetry in chaos : a search for pattern in mathematics, art and nature / Michael Field and Martin Golubitsky.","Oxford University Press,",1992.
9952170260801401,.b11280645,Computer networks / Andrew S. Tanenbaum.,"Prentice-Hall,",c1989.
9952170444901401,.b1127802x,"The GUI style guide / Susan L. Fowler, Victor R. Stanwick.","AP Professional,",c1995.
9952170852801401,.b11317942,Taking software design seriously : practical techniques for human-computer interaction design / edited by John Karat.,"Academic Press,",c1991.
9952171012801401,.b11346905,"Report of court proceedings in the case of the anti-soviet Trotskyite centre, heard before the Military collegium of the Supreme court of the U. S. S. R., Moscow, January 23-30, 1937, in re: Y. L. Pyatakov, K. B. Radek, G. Y. Sokolnikov, L. P. Serebryakov, N. I. Muralov, Y. A. Livshitz, Y. N. Drobnis, M. S. Boguslavsky, I. A. Knyazev, S. A. Rataichak, B. O. Norkin, A. A. Shestov, M. S. Stroilov, Y. D. Turok, I. Y. Hrasche, G. E. Pushin, V. V. Arnold, accused of treason against the country, espionage acts of diversion, wrecking activities and the preparation of terrorist acts, i. e., of crimes covered by articles 58(1a), 58(8), 58(9) and 58(11) of the Criminal code of the R. S. F. S. R. Verbatim report.","People's commissariat of justice of the U. S. S. R.,",1937.
9952171622501401,.b10945374,"Software ergonomics : advances and applications / editors, H.-J. Bullinger and R. Gunzenhauser ; translator, D. Lewis.",E. Horwood ;,1988.
9952171631001401,.b10960144,Science and the UFOs / Jenny Randles and Peter Warrington.,"B. Blackwell,",1985.
9952171691201401,.b1097314x,Oil and gas in coastal lands and waters : a report / by the Council on Environmental Quality ; written by Katherine Gillman : illustrated by Allen Carroll.,The Council :,1977.
9952171711501401,.b10960983,"Cults : faith, healing, and coercion / Marc Galanter.","Oxford University Press,",1989.
9952171942701401,.b10981329,Close to the machine : technophilia and its discontents / Ellen Ullman.,"City Lights Books,",c1997.
9952172281701401,.b11036989,LISP : a gentle introduction to symbolic computation / David S. Touretzky.,"Harper & Row,",c1984.
9952172750001401,.b1107372x,The pattern on the stone : the simple ideas that make computers work / W. Daniel Hillis.,"Basic Books,",c1998.
9952172843901401,.b11088230,Computer modeling : from sports to spaceflight-- from order to chaos / J.M.A. Danby.,"Willmann-Bell,",c1997.
9952173197401401,.b1113558x,"The invisible computer : why good products can fail, the personal computer is so complex, and information appliances are the solution / Donald A. Norman.","MIT Press,",c1998.
9952173462501401,.b11413098,"The modern researcher / Jacques Barzun, Henry F. Graff.","Houghton Mifflin Co.,",c1992.
9952173487901401,.b11416269,"From Baker Street to binary : an introduction to computers and computer programming / Henry Ledgard, E. Patrick McQuaid, Andrew Singer.","McGraw-Hill,",1983.
9952173617601401,.b11419957,Programming with Ada : an introduction by means of graduated examples / Peter Wegner.,"Prentice-Hall,",c1980.
9952173717801401,.b11398760,"Collected algorithms from ACM : a collation of all ACM algorithms, including certifications, remarks, and translations from ACM transactions on mathematical software...","The Association,",1960-
9952174343601401,.b11514668,Algorithmic information theory / Gregory J. Chaitin.,"Cambridge University Press,",1987.
9952174650701401,.b11544788,"Demystifying multimedia : a guide for multimedia developers /cfrom Apple Computer, Inc.; Randy Haykin, senior editor.","Apple Computer,",c1993.
9952174788401401,.b11583216,"The house of God, by Desider Holisher, with 300 photographs by the author and others.",Crown Publishers,[1946]
9952174838601401,.b11573107,"UNIX in a nutshell : System V edition : revised and expanded for SVR4 and Solaris 2.0 / Daniel Gilly and the staff of O'Reilly and Associates, Inc.","O'Reilly & Associates,",c1992.
9952175013201401,.b11607646,"An introduction to the study of some living religions of the East, by Sydney Cave...",Duckworth,[1921]
9952175065701401,.b11433826,Java performance and scalability / Dov Bulka.,"Addison-Wesley,",c2000-
9952175513301401,.b11627864,"Gregory of Tours; selections from the minor works, translated by William C. McDermott.","University of Pennsylvania Press,",1949.
9952175522001401,.b11652780,The pilgrims of Russian-town : the community of spiritual Christian jumpers in America / by Pauline V. Young ; with an introd. by Robert E. Park.,"University of Chicago Press,",1932.
9952175614401401,.b11654004,The religions of man.,Harper,[1958]
9952175698601401,.b11645052,"Mormon settlement in Arizona; a record of peaceful conquest of the desert, by James H. McClintock.",,1921.
9952175711101401,.b11644643,Methodism in American history.,Abingdon Press,[1954]
9952175714701401,.b11644448,The Puritan mind.,H. Holt and company,[c1930]
9952175978801401,.b1169807x,"Expropriation of U.S. investments in Cuba, Mexico, and Chile / Eric N. Baklanoff.","Praeger,",1975.
9952176005001401,.b11693009,The labor banking movement in the United States.,,1929.
9952176007501401,.b11692741,Balance of payments and economic growth [by] John M. Letiche.,"A. M. Kelley,",1967.
9952176078801401,.b11697660,"Main Street and Wall Street, by William Z. Ripley ...","Little, Brown, and Company,",1927.
9952176098201401,.b1169547x,"The inflationary spiral; the experience in China, 1939-1950.",Technology Press of Massachusetts Institute of Technology,[1958]
