9952175213401401,West's annotated California codes.,b11422270,1132894374,West's annotated California codes. Fish and game code
9952175213901401,West's annotated California codes.,b11422221,650674385,West's annotated California codes. Financial code
9952175214001401,West's annotated California codes.,b11422208,174125233,West's annotated California codes. Evidence code
9952175214201401,West's annotated California codes.,b1142218x,1132899960,West's annotated California codes. Elections code
9952175214401401,West's annotated California codes.,b11422166,1132906103,West's annotated California codes. Education code
9952175214601401,West's annotated California codes.,b11422142,650674379,West's annotated California codes. Corporations code
9952175214901401,West's annotated California codes.,b11422105,252536706,West's annotated California codes. Commercial code
9952175215201401,West's annotated California codes.,b11422075,1132897907,West's annotated California codes. Civil and criminal court rules
9952175215401401,West's annotated California codes.,b1142204x,650674388,West's annotated California codes. Code of civil procedure
9952175215701401,West's annotated California codes.,b11422014,37714846,West's annotated California codes. Civil Code
9952175216001401,West's annotated California codes.,b11421988,174125232,West's annotated California codes. Business and professions code
9952175216201401,West's annotated California codes.,b11421952,252536319,West's annotated California codes. Constitution of the state of California
9952175331801401,Jazz.,b11435215,45702410,"Jazz. Episode nine, The adventure"
9952175332001401,Jazz.,b11435197,45706185,"Jazz. Episode ten, A masterpiece by midnight"
9952175344301401,Jazz.,b11432834,46606033,"Jazz. Episode one, Gumbo"
9952175350201401,Jazz.,b11435380,45692629,"Jazz. Episode two, The gift"
9952175350401401,Jazz.,b11435367,45692634,"Jazz. Episode three, Our language"
9952175350601401,Jazz.,b11435343,45692636,"Jazz. Episode four, The true welcome"
9952175350801401,Jazz.,b1143532x,45692639,"Jazz. Episode five, Swing, pure pleasure"
9952175351001401,Jazz.,b11435306,45692641,"Jazz. Episode six, Swing, the velocity of celebration"
9952175351201401,Jazz.,b11435276,45692664,"Jazz. Episode seven, Dedicated to chaos"
9952175351501401,Jazz.,b11435240,45706162,"Jazz. Episode eight, Risk"
9952176353801401,Hearts and hands the influence of women & quilts on American Society /,b11798014,904334486,Hearts and hands : the influence of women & quilts on American Society
9952176520101401,Video album 5,b11742781,22455942,Video album 5
9952176667801401,Simone Forti from dance construction to logomotion /,b11820159,49057815,Simone Forti : From dance construction to logomotion
9952176669501401,Steve Paxton conversations with contemporary masters of American modern dance /,b11820068,1132899567,Steve Paxton
9952176669701401,Erick Hawkins poet of the modern dance /,b11820056,50665444,Erick Hawkins : poet of the modern dance
9952176754201401,The Role of theatre in ancient Greece,b11835643,20102501,The Role of theatre in ancient Greece
9952177013501401,Strange fruit,b11842313,49347551,Strange fruit
9952177036201401,Mark Dendy,b11843834,36427216,Mark Dendy
9952177407101401,Roll on Columbia Woody Guthrie & the Bonneville Power Administration /,b11924159,849954993,Roll on Columbia : Woody Guthrie & the Bonneville Power Administration
9952178136601401,Bob Fosse dancing on the edge /,b12028617,1132907412,Bob Fosse  : dancing on the edge
9952161449401401,Medieval religion and technology : collected essays /,b10004592,4417735,Medieval religion and technology : collected essays
9952161774901401,Tryin' to get home a history of African American song /,b10088271,979584275,Tryin' to get home : a history of African American song
9952161991901401,"Scientific illustration : a guide to biological, zoological, and medical rendering techniques, design, printing, and display /",b10101433,3728811,"Scientific illustration : a guide to biological, zoological, and medical rendering techniques, design, printing, and display"
9952161994101401,The inventions of Leonardo da Vinci /,b10097223,4274452,The inventions of Leonardo da Vinci
9952162117201401,Connections /,b10103843,4494136,Connections
9952162216601401,"Men, machines, and modern times /",b10126740,423314,"Men, machines, and modern times"
9952162370301401,West's annotated California codes.,b10152611,31140236,West's annotated California codes. Family code
9952162419601401,John Cage I have nothing to say and I'm saying it /,b10142630,74910067,John Cage : I have nothing to say and I'm saying it
9952162657801401,Butoh body on the edge of crisis /,b10193285,37800327,Butoh : body on the edge of crisis
9952162840401401,Black theatre--the making of a movement,b10194502,1132893770,Black theatre : the making of a movement
9952162853801401,"Mechanization takes command, a contribution to anonymous history.",b10217678,21078475,"Mechanization takes command, a contribution to anonymous history"
9952163020301401,"Technology, economic growth, and public policy; a Rand Corporation and Brookings Institution study",b10218452,561281,"Technology, economic growth, and public policy; a Rand Corporation and Brookings Institution study"
9952163020901401,Readings in technology and American life,b10218373,5109,Readings in technology and American life
9952163022801401,American and British technology in the nineteenth century; the search for labour-saving inventions.,b10218142,561297,American and British technology in the nineteenth century; the search for labour-saving inventions
9952163023201401,"A history of mechanical inventions,",b10218105,823574,A history of mechanical inventions
9952163024701401,French inventions of the eighteenth century.,b10217952,560969,French inventions of the eighteenth century
