PDF Filename,Invoice Number,Invoice Date,Vendor,POL (Fund),Total
GOBI-070225-449948.pdf,449948,07/02/25,gobi-mills,POL-149977 (RNLDS) POL-149978 (RNLDS) POL-148381 (RNLDS) POL-149980 (RNLDS) POL-147927 (RNLDS) POL-148312 (RNLDS) POL-149983 (RNLDS) POL-148321 (RNLDS) POL-150049 (RNLDS),397.09
GOBI-070225-449949.pdf,449949,07/02/25,gobi-mills,POL-146918 (RNLDS) Was KENT,26.37
GOBI-070225-449952.pdf,449952,07/02/25,gobi-mills,POL-149342 (RNLDS) POL-149975 (RNLDS) POL-150312 (RNLDS) POL-150311 (RNLDS) POL-150305 (RNLDS) POL-150302 (RNLDS) POL-150306 (RNLDS) POL-150314 (RNLDS) POL-150303 (RNLDS) POL-150046 (RNLDS) POL-150240 (RNLDS) POL-150163 (RNLDS) POL-150313 (RNLDS),262.16
GOBI-071025-454580.pdf,454580,07/10/25,gobi-mills,POL-149653 (RNLDS),30.04
GOBI-072125-459298.pdf,459298,07/21/25,gobi-mills,POL-151004 (RNLDS),35.75
GOBI-072525-463891.pdf,463891,07/25/25,gobi-mills,POL-150984 (RNLDS) POL-150985 (RNLDS) POL-150995 (RNLDS) POL-150987 (RNLDS) POL-151003 (RNLDS) POL-151012 (RNLDS) POL-151014 (RNLDS) POL-151007 (RNLDS) POL-151015 (RNLDS) POL-151008 (RNLDS) POL-151010 (RNLDS),341.77
GOBI-072525-463894.pdf,463894,07/25/25,gobi-mills,POL-150981 (RNLDS) POL-150982 (RNLDS) POL-150993 (RNLDS) POL-150996 (RNLDS) POL-150997 (RNLDS) POL-150989 (RNLDS) POL-150990 (RNLDS) POL-150991 (RNLDS) POL-150992 (RNLDS) POL-151009 (RNLDS),231.94
GOBI-073125-468843.pdf,468843,07/31/25,gobi-mills,POL-150983 (RNLDS) POL-150994 (RNLDS) POL-151231 (RNLDS) POL-150986 (RNLDS) POL-150988 (RNLDS) POL-151233 (RNLDS) POL-151005 (RNLDS),365.06
GOBI-073125-468848.pdf,468848,07/31/25,gobi-mills,POL-151232 (RNLDS) POL-151002 (RNLDS) POL-151013 (RNLDS) POL-151006 (RNLDS),72.91
GOBI-080725-474163.pdf,474163,08/07/25,gobi-mills,POL-151436 (RNLDS) POL-151438 (RNLDS) POL-150998 (RNLDS) POL-151234 (RNLDS) POL-151441 (RNLDS) POL-151236 (RNLDS),218.00
GOBI-080725-474170.pdf,474170,08/07/25,gobi-mills,POL-151483 (RNLDS) Was KENT POL-151442 (RNLDS) Was KENT,53.76
GOBI-080725-474171.pdf,474171,08/07/25,gobi-mills,POL-151011 (RNLDS),17.82
GOBI-081525-479682.pdf,479682,08/15/25,gobi-mills,POL-151134 (RNLDS),28.18
GOBI-081525-479685.pdf,479685,08/15/25,gobi-mills,POL-151484 (RNLDS) POL-151137 (RNLDS) POL-151235 (RNLDS),72.98
GOBI-082225-485117.pdf,485117,08/22/25,gobi-mills,POL-151435 (RNLDS) POL-151135 (RNLDS),60.57
GOBI-082225-485122.pdf,485122,08/22/25,gobi-mills,POL-151686 (RNLDS) Was KENT,18.79
GOBI-082225-485123.pdf,485123,08/22/25,gobi-mills,POL-151437 (RNLDS) POL-151440 (RNLDS),40.36
GOBI-082925-491151.pdf,491151,08/29/25,gobi-mills,POL-151687 (RNLDS) Was KENT,12.23
