31-Oct-24 11:49:28 - INFO - ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
31-Oct-24 11:49:28 - INFO - START OF UNSET LOG FOR 2024-10-31 11:49:28.342283
31-Oct-24 11:49:28 - INFO - ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
31-Oct-24 11:49:30 - INFO - Response: {'controlNumber': '84294308', 'requestedControlNumber': '84294308', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:31 - INFO - Response: {'controlNumber': '24860666', 'requestedControlNumber': '24860666', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:32 - INFO - Response: {'controlNumber': '30126230', 'requestedControlNumber': '30126230', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:33 - INFO - Response: {'controlNumber': '24486213', 'requestedControlNumber': '24486213', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:34 - INFO - Response: {'controlNumber': '1132896646', 'requestedControlNumber': '1132896646', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:35 - INFO - Response: {'controlNumber': '80555572', 'requestedControlNumber': '80555572', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:37 - INFO - Response: {'controlNumber': '30530252', 'requestedControlNumber': '30530252', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:38 - INFO - Response: {'controlNumber': '81974013', 'requestedControlNumber': '81974013', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:39 - INFO - Response: {'controlNumber': '79029850', 'requestedControlNumber': '79029850', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:40 - INFO - Response: {'controlNumber': '80333782', 'requestedControlNumber': '80333782', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:41 - INFO - Response: {'controlNumber': '1132894755', 'requestedControlNumber': '1132894755', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
